tA2,cA2,tS,cS
0,0,0,0
0.063647859,0,0.063647859,0.046114116
0.135389165,0,0.135389165,0.092586567
0.195744041,0,0.195744041,0.346374836
0.272285812,0,0.272285812,0.702622442
0.332480055,0,0.332480055,0.895851954
0.404202826,0,0.404202826,0.935336856
0.467399676,0,0.467399676,0.760549284
0.525122637,0,0.525122637,0.022105614
0.596752736,0,0.596752736,0.026652773
0.66045002,0,0.66045002,0.040529019
0.724289404,0,0.724289404,0.107976473
0.8003987,0,0.8003987,0.301181273
0.864911508,0,0.864911508,0.622509669
0.933316584,0,0.933316584,0.911223326
1.000801107,0,1.000801107,0.852888722
1.062305129,0,1.062305129,0.03990502
1.129882326,0,1.129882326,0.016508161
1.197620156,0,1.197620156,0.053670059
1.265456837,0,1.265456837,0.128098884
1.32971016,0,1.32971016,0.351601596
1.394222967,0,1.394222967,0.672929993
1.466674767,0,1.466674767,0.987258484
1.533708282,0,1.533708282,0.758893525
1.591641302,0,1.591641302,0.099642076
1.651118873,0,1.651118873,0.022686366
