t,ca2,Time,c3a
0,0.9,0,0
0.05,0,0.05,9.70217
0.08333,0,0.08333,3.89787
0.16667,0,0.16667,0.00242
0.25,0,0.25,0.91374
0.33333,0,0.33333,1.83746
0.41667,0,0.41667,0.72966
0.5,0,0.5,0.12915
0.58333,0,0.58333,0.21494
0.66667,0,0.66667,0.13826
0.75,0,0.75,0.08579
0.83333,0,0.83333,0.59884
0.91667,0,0.91667,1.75811
1,0,1,2.23217
1.08333,0,1.08333,0.18399
1.16667,0,1.16667,0.15212
1.25,0,1.25,0.15765
1.33333,0,1.33333,0.78992
1.41667,0,1.41667,1.95096
1.5,0,1.5,2.06027
1.58333,0,1.58333,0.17483
1.66667,0,1.66667,0.11552
1.75,0,1.75,1.06632
1.83333,0,1.83333,1.81845
1.91667,0,1.91667,1.87675
2,0,2,0.05647
2.08333,0,2.08333,0.11898
2.16667,0,2.16667,0.84835
2.25,0,2.25,1.96166
2.33333,0,2.33333,2.30447
2.41667,0,2.41667,1.50029
2.5,0,2.5,0.08627
2.58333,0,2.58333,0.36856
2.66667,0,2.66667,1.57337
2.75,0,2.75,2.39135
2.83333,0,2.83333,2.53257
2.91667,0,2.91667,0.17408
3,0,3,0.08632
3.16667,0,3.16667,0.22353
3.33333,0,3.33333,2.56876
3.5,0,3.5,2.03284
3.66667,0,3.66667,0.08593
3.83333,0,3.83333,1.92446
4,0,4,3.15675
