tA2,cA2,tS,cS
0,0,0,0
0.068170304,0,0.068170304,0.195546339
0.137131419,0,0.137131419,0.693886461
0.2015948,0,0.2015948,0.996581394
0.269863956,0,0.269863956,1.234053025
0.333653913,0,0.333653913,1.282867016
0.401465882,0,0.401465882,1.347979109
0.464483564,0,0.464483564,1.105645231
0.537231917,0,0.537231917,0.031774504
0.597006042,0,0.597006042,0.066619575
0.661395286,0,0.661395286,0.341364312
0.741952889,0,0.741952889,0.711580838
0.794399664,0,0.794399664,0.984014927
0.866517841,0,0.866517841,1.172567538
0.9424109,0,0.9424109,1.284250934
0.993943301,0,0.993943301,1.211965946
1.064238907,0,1.064238907,0.713409586
1.130110919,0,1.130110919,0.047158232
1.209673832,0,1.209673832,0.042376302
1.265666896,0,1.265666896,0.151761406
1.330538039,0,1.330538039,0.608182414
1.406832682,0,1.406832682,0.871262701
1.471234282,0,1.471234282,1.150665804
1.539200705,0,1.539200705,1.274007472
1.606524595,0,1.606524595,1.155114111
1.664766526,0,1.664766526,0.61232181
1.738874084,0,1.738874084,0.050871333
