tA2,cA2,tS,cS
0,0.799641652,0,0
1.005225523,0.176092585,1.03960396,1.369874094
2.036578658,0.24150636,1.98019802,2.60590941
3.033553355,0.115544576,2.999174917,0.941229384
4.030528053,0.170028986,3.961771177,0.476254245
4.993124312,0.623689018,4.958745875,0.629163851
5.99009901,0.437578502,5.955720572,1.897559023
6.987073707,0.071021792,6.95269527,2.537126547
8.087183718,0.010656504,7.984048405,0.038017138
9.049779978,0.048743482,8.981023102,0.130778014
10.01237624,0.311021186,9.943619362,0.409459917
10.9749725,0.190534236,10.9749725,1.885634848
12.00632563,0.075501817,11.97194719,2.486925907
12.96892189,0.009695532,12.90016502,0.042517465
14.0690319,0.004010908,14.00027503,0.042300908
14.96287129,-0.001633111,14.99724972,0.04757272
16.0629813,0.085639396,15.95984598,0.195021028
17.059956,0.42993133,16.95682068,0.60492976
18.05693069,0.271161147,17.95379538,2.174068588
18.95077008,0.117879332,18.98514851,3.037820071
20.01650165,0.013776279,19.91336634,0.04660498
21.08223322,0.008098423,20.91034103,0.035472593
21.97607261,0.002454404,21.94169417,0.046205703
22.9730473,0.002258149,22.9730473,0.067874947
24.03877888,0.023920625,23.93564356,0.264535853
24.9669967,0.182311834,24.9669967,0.778331081
25.99834983,0.346150806,25.92959296,2.172498549
26.92656766,0.165521892,26.96094609,3.315121424
27.99229923,0.055950772,27.88916392,1.384711232
29.02365237,0.012003218,28.88613861,0.033902554
30.02062706,0.006338897,29.95187019,0.066501163
31.01760176,0.017078775,30.98322332,0.115510739
31.94581958,0.033300254,31.94581958,0.202810315
33.08030803,0.350224786,32.94279428,0.377592188
34.00852585,0.628913457,33.93976898,1.383520168
35.00550055,0.481079407,34.90236524,3.319026219
35.96809681,0.114529465,35.89933993,3.614105554
36.96507151,-0.000496186,36.96507151,0.026844146
37.99642464,0.010236924,37.92766777,0.048526925
38.9590209,0.010047437,38.92464246,0.053798736
39.99037404,0.020780548,39.92161716,0.064538614
40.88421342,0.009668462,40.91859186,0.086214625
41.94994499,0.009458672,41.98432343,0.080536769
43.01567657,0.069397614,42.91254125,0.211587645
