timeA2,cA2,timeS,cS
0,0.9,0,0
,,0.05,0.02692
,,0.1,0
,,0.15,0
,,0.2,9.08E-04
,,0.25,7.55E-05
,,0.33333,0.17202
,,0.41667,0.32399
,,0.5,0
,,0.58333,0.24323
,,0.66667,0.05147
,,0.75,0.17731
,,0.83333,0.27899
,,0.91667,0.2971
,,1,0.01593
,,1.08333,0.00455
,,1.16667,0.23771
,,1.25,0.39715
,,1.33333,0.28653
,,1.41667,0
,,1.5,0.06443
,,1.58333,0.28026
,,1.66667,0.32528
,,1.75,0.38828
,,1.83333,0.18041
,,1.91667,0.01408
,,2,0.08399
,,2.08333,0.30592
,,2.16667,0.42754
,,2.25,0.36415
,,2.33333,0.0922
,,2.41667,1.43E-04
,,2.5,0.13364
,,2.58333,0.36702
,,2.66667,0.47352
,,2.75,0.347
,,2.83333,0.00504
,,2.91667,0.08405
,,3,0.29677
,,3.08333,0.44738
,,3.16667,0.51547
,,3.25,0.33864
,,3.33333,0
,,3.41667,0.0524
,,3.5,0.33667
,,3.58333,0.54199
,,3.66667,0.55484
,,3.75,0.45521
,,3.83333,0.0071
,,3.91667,0.00512
,,4,0.21335
,,4.08333,0.48342
,,4.16667,0.67124
,,4.25,0.69531
,,4.33333,0.56757
,,4.41667,0.39667
,,4.5,0.07266
,,4.58333,0.10831
,,4.66667,0.29708
,,4.75,0.62842
,,4.83333,0.86218
,,4.91667,0.96029
,,5,1.06618
