tA2,cA2,tS,cS
0,0,0,0.028985507
0.065625,0,0.065625,0.50931677
0.1359375,0,0.1359375,1.043478261
0.1921875,0,0.1921875,0.931677019
0.2671875,0,0.2671875,0.082815735
0.3328125,0,0.3328125,0.045548654
0.3984375,0,0.3984375,0.045548654
0.4640625,0,0.4640625,0.049689441
0.5296875,0,0.5296875,0.074534161
0.590625,0,0.590625,0.277432712
0.65625,0,0.65625,0.745341615
0.7265625,0,0.7265625,1.072463768
0.796875,0,0.796875,1.105590062
0.8578125,0,0.8578125,0.186335404
0.9234375,0,0.9234375,0.028985507
0.9984375,0,0.9984375,0.041407867
1.0640625,0,1.0640625,0.066252588
1.1390625,0,1.1390625,0.231884058
1.190625,0,1.190625,0.67494824
1.25625,0,1.25625,1.064182195
1.3359375,0,1.3359375,1.151138716
1.40625,0,1.40625,0.103519669
1.4671875,0,1.4671875,0.045548654
