tA2,cA2,tS,cS
0,0,0,0.053830228
0.0375,0,0.0375,1.068322981
0.1171875,0,0.1171875,1.797101449
0.1921875,0,0.1921875,0.467908903
0.24375,0,0.24375,0.115942029
0.3140625,0,0.3140625,0.095238095
0.3890625,0,0.3890625,0.269151139
0.440625,0,0.440625,1.32505176
0.5203125,0,0.5203125,1.958592133
0.590625,0,0.590625,0.795031056
0.6421875,0,0.6421875,0.082815735
0.7265625,0,0.7265625,0.070393375
0.778125,0,0.778125,0.103519669
0.8484375,0,0.8484375,0.128364389
0.91875,0,0.91875,0.670807453
0.975,0,0.975,1.68115942
1.0453125,0,1.0453125,2.049689441
1.10625,0,1.10625,0.120082816
1.1859375,0,1.1859375,0.074534161
