t,ca2,Time,c3a
0,0.9,0,0
0.08333,0,0.08333,10.89568
0.16667,0,0.16667,0.71898
0.25,0,0.25,0.12373
0.33333,0,0.33333,0.14278
0.41667,0,0.41667,0.34645
0.5,0,0.5,0.60307
0.66667,0,0.66667,0.85716
0.83333,0,0.83333,0.64314
1,0,1,0.08522
1.16667,0,1.16667,0.65627
1.33333,0,1.33333,0.92915
1.5,0,1.5,0.93166
1.66667,0,1.66667,0.02389
1.83333,0,1.83333,0.23214
2,0,2,0.98342
2.16667,0,2.16667,1.121
2.33333,0,2.33333,0.8319
2.5,0,2.5,0.16632
2.66667,0,2.66667,0.74179
2.83333,0,2.83333,1.13898
3,0,3,1.18127
3.08333,0,3.08333,1.17431
3.16667,0,3.16667,1.20128
3.25,0,3.25,0.68833
3.33333,0,3.33333,0.0647
3.41667,0,3.41667,0.09293
3.5,0,3.5,0.26054
3.66667,0,3.66667,1.07388
3.83333,0,3.83333,1.60247
4,0,4,1.85479
