tA2,cA2,tS,cS,tA,cA
0,0.081344018,0,0.00100701,0,30.19792182
0.033333333,0.331285837,0.033333333,0.204252646,0.033333333,29.34748111
0.066666667,0.094895028,0.066666667,0.784994451,0.066666667,29.11192093
0.1,0.044852655,0.1,0.914854942,0.1,29.65210089
0.133333333,0.04451923,0.133333333,0.945597907,0.133333333,29.09357994
0.166666667,0.050024729,0.166666667,0.961246392,0.166666667,29.88169067
0.2,0.047284723,0.2,0.81334902,0.2,29.42731875
0.233333333,0.00672528,0.233333333,0.173801221,0.233333333,30.26374768
0.266666667,0.008399564,0.266666667,0.069083846,0.266666667,30.35805572
0.3,0.014800503,0.3,0.101346211,0.3,30.23294386
0.333333333,0.045459007,0.333333333,0.16866139,0.333333333,30.26339823
0.366666667,0.069618112,0.366666667,0.41434386,0.366666667,29.74547895
0.4,0.059268665,0.4,0.784154604,0.4,29.02553743
0.433333333,0.044101483,0.433333333,0.950503347,0.433333333,29.46763592
0.466666667,0.046014848,0.466666667,1.045475168,0.466666667,29.12124012
0.5,0.056046377,0.5,1.099313996,0.5,28.91074751
0.533333333,0.03834182,0.533333333,1.094755365,0.533333333,28.92998077
0.566666667,0.046541095,0.566666667,0.92228205,0.566666667,29.33481926
0.6,0.007215572,0.6,0.117017534,0.6,30.21611001
0.633333333,0.008276888,0.633333333,0.057528813,0.633333333,30.30890659
0.666666667,0.014098632,0.666666667,0.086838006,0.666666667,30.25734695
0.7,0.040616644,0.7,0.168501092,0.7,30.06655416
0.733333333,0.063100994,0.733333333,0.502488302,0.733333333,30.40114759
0.766666667,0.042249092,0.766666667,0.818371626,0.766666667,29.48161287
0.8,0.04282938,0.8,1.008947066,0.8,29.44971579
0.833333333,0.038948323,0.833333333,1.10911272,0.833333333,28.68949755
0.866666667,0.056708918,0.866666667,1.195912932,0.866666667,28.67397336
0.9,0.046207156,0.9,1.254532636,0.9,28.69637021
0.933333333,0.048671264,0.933333333,1.186611736,0.933333333,29.19429916
0.966666667,0.051158299,0.966666667,0.948439129,0.966666667,29.9649022
1,0.006652909,1,0.119249296,1,29.30834309
1.033333333,0.009652826,1.033333333,0.046851535,1.033333333,29.97987383
1.066666667,0.011235259,1.066666667,0.090146188,1.066666667,30.36436248
1.1,0.03289346,1.1,0.205514498,1.1,30.31426319
1.133333333,0.04950122,1.133333333,0.553879621,1.133333333,29.77487795
1.166666667,0.057418496,1.166666667,0.914726162,1.166666667,29.18536781
1.2,0.059530673,1.2,1.115943439,1.2,29.07114949
1.233333333,0.055504937,1.233333333,1.275207537,1.233333333,28.76284117
1.266666667,0.063941497,1.266666667,1.331716096,1.266666667,28.65084319
1.3,0.051161381,1.3,1.429203262,1.3,28.48986317
1.333333333,0.070013383,1.333333333,1.457317516,1.333333333,28.65056564
1.366666667,0.052764429,1.366666667,1.403848132,1.366666667,28.40084581
1.433333333,0.007622662,1.433333333,0.53991952,1.433333333,29.97743507
1.466666667,0.007680034,1.466666667,0.07933709,1.466666667,30.72000794
1.5,0.009652402,1.5,0.108144392,1.5,29.74484973
1.533333333,0.012477588,1.533333333,0.143476686,1.533333333,29.82978684
1.566666667,0.084919884,1.566666667,0.296136387,1.566666667,29.82479258
