timeA2,cA2,timeS,cS
0,0.9,0,0
0.05,0,0.05,11.57193
0.1,0,0.1,9.41052
0.15,0,0.15,6.78165
0.2,0,0.2,3.8112
0.25,0,0.25,0.55816
0.33333,0,0.33333,0.06171
0.41667,0,0.41667,0.0738
0.5,0,0.5,0.10069
0.66667,0,0.66667,0.32238
0.83333,0,0.83333,0.86201
1,0,1,1.05209
1.16667,0,1.16667,1.32549
1.33333,0,1.33333,1.48986
1.5,0,1.5,1.56774
1.66667,0,1.66667,1.61345
1.83333,0,1.83333,1.51065
2,0,2,0.41569
2.16667,0,2.16667,0.05675
2.33333,0,2.33333,0.0422
2.5,0,2.5,0.10742
2.66667,0,2.66667,0.32692
2.83333,0,2.83333,0.94692
3,0,3,1.55411
3.16667,0,3.16667,1.94371
3.33333,0,3.33333,2.23373
3.5,0,3.5,2.42894
3.66667,0,3.66667,2.57031
3.83333,0,3.83333,2.51134
4,0,4,2.56079
4.16667,0,4.16667,2.37089
4.33333,0,4.33333,2.04931
4.5,0,4.5,0.43567
4.66667,0,4.66667,0.13673
4.83333,0,4.83333,0.20867
5,0,5,0.61001
