timeA2,cA2,timeS,cS
0,0.9,0,0
0.05,0,0.05,6.82224
0.1,0,0.1,12.40051
0.15,0,0.15,11.06453
0.2,0,0.2,9.75963
0.25,0,0.25,8.18457
0.33333,0,0.33333,5.45746
0.41667,0,0.41667,1.51633
0.5,0,0.5,0.12363
0.66667,0,0.66667,0.10396
0.83333,0,0.83333,0.10221
1,0,1,0.18283
1.16667,0,1.16667,0.59508
1.33333,0,1.33333,1.2352
1.5,0,1.5,1.68119
1.66667,0,1.66667,2.15048
1.83333,0,1.83333,2.39103
2,0,2,2.55971
2.16667,0,2.16667,2.69234
2.33333,0,2.33333,2.74191
2.5,0,2.5,2.73825
2.66667,0,2.66667,2.58796
2.83333,0,2.83333,2.43119
3,0,3,1.8176
3.16667,0,3.16667,0.10802
3.33333,0,3.33333,0.1153
3.5,0,3.5,0.16417
3.66667,0,3.66667,0.32243
3.83333,0,3.83333,1.01693
4,0,4,1.75771
4.16667,0,4.16667,2.3379
4.33333,0,4.33333,2.9414
4.5,0,4.5,3.39184
4.66667,0,4.66667,3.83402
4.83333,0,4.83333,4.27303
5,0,5,4.76935
